date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-19 21:52:09,0.0,0.0,0.0,0.48,0.81,0.14,"['2020-09-19 21:52:09', 0.0, 0.0, 0.0, 0.48, 0.81, 0.14, [...]]"
2020-09-19 21:52:10,0.0,0.0,0.0,0.48,0.8,0.12,"['2020-09-19 21:52:10', 0.0, 0.0, 0.0, 0.48, 0.8, 0.12, [...]]"
2020-09-19 21:52:11,0.0,0.0,0.0,0.52,0.8,0.12,"['2020-09-19 21:52:11', 0.0, 0.0, 0.0, 0.52, 0.8, 0.12, [...]]"
2020-09-19 21:52:11,0.0,0.0,0.0,0.47,0.82,0.1,"['2020-09-19 21:52:11', 0.0, 0.0, 0.0, 0.47, 0.82, 0.1, [...]]"
2020-09-19 21:52:12,0.0,0.0,0.0,0.47,0.82,0.1,"['2020-09-19 21:52:12', 0.0, 0.0, 0.0, 0.47, 0.82, 0.1, [...]]"
2020-09-19 21:52:13,0.0,0.0,0.0,0.47,0.83,0.12,"['2020-09-19 21:52:13', 0.0, 0.0, 0.0, 0.47, 0.83, 0.12, [...]]"
2020-09-19 21:52:13,0.0,0.0,0.0,0.5,0.84,0.1,"['2020-09-19 21:52:13', 0.0, 0.0, 0.0, 0.5, 0.84, 0.1, [...]]"
2020-09-19 21:52:14,0.0,0.0,0.0,0.5,0.84,0.1,"['2020-09-19 21:52:14', 0.0, 0.0, 0.0, 0.5, 0.84, 0.1, [...]]"
2020-09-19 21:52:15,0.0,0.0,0.0,0.42,0.83,0.13,"['2020-09-19 21:52:15', 0.0, 0.0, 0.0, 0.42, 0.83, 0.13, [...]]"
2020-09-19 21:52:16,0.0,0.0,0.0,0.5,0.86,0.1,"['2020-09-19 21:52:16', 0.0, 0.0, 0.0, 0.5, 0.86, 0.1, [...]]"
2020-09-19 21:52:16,0.0,0.0,0.0,0.5,0.86,0.1,"['2020-09-19 21:52:16', 0.0, 0.0, 0.0, 0.5, 0.86, 0.1, [...]]"
2020-09-19 21:52:17,0.0,0.0,0.0,0.43,0.85,0.11,"['2020-09-19 21:52:17', 0.0, 0.0, 0.0, 0.43, 0.85, 0.11, [...]]"
2020-09-19 21:52:18,0.0,0.0,0.0,0.43,0.8,0.14,"['2020-09-19 21:52:18', 0.0, 0.0, 0.0, 0.43, 0.8, 0.14, [...]]"
2020-09-19 21:52:19,0.0,0.0,0.0,0.51,0.8,0.14,"['2020-09-19 21:52:19', 0.0, 0.0, 0.0, 0.51, 0.8, 0.14, [...]]"
2020-09-19 21:52:19,0.0,0.0,0.0,0.53,0.82,0.14,"['2020-09-19 21:52:19', 0.0, 0.0, 0.0, 0.53, 0.82, 0.14, [...]]"
2020-09-19 21:52:20,0.0,0.0,0.0,0.53,0.82,0.11,"['2020-09-19 21:52:20', 0.0, 0.0, 0.0, 0.53, 0.82, 0.11, [...]]"
2020-09-19 21:52:21,0.0,0.0,0.0,0.46,0.81,0.11,"['2020-09-19 21:52:21', 0.0, 0.0, 0.0, 0.46, 0.81, 0.11, [...]]"
2020-09-19 21:52:22,0.0,0.0,0.0,0.49,0.81,0.12,"['2020-09-19 21:52:22', 0.0, 0.0, 0.0, 0.49, 0.81, 0.12, [...]]"
2020-09-19 21:52:22,0.0,0.0,0.0,0.49,0.81,0.12,"['2020-09-19 21:52:22', 0.0, 0.0, 0.0, 0.49, 0.81, 0.12, [...]]"
2020-09-19 21:52:23,0.0,0.0,0.0,0.49,0.81,0.09,"['2020-09-19 21:52:23', 0.0, 0.0, 0.0, 0.49, 0.81, 0.09, [...]]"
2020-09-19 21:52:24,0.0,0.0,0.0,0.45,0.84,0.1,"['2020-09-19 21:52:24', 0.0, 0.0, 0.0, 0.45, 0.84, 0.1, [...]]"
2020-09-19 21:52:24,0.0,0.0,0.0,0.45,0.84,0.1,"['2020-09-19 21:52:24', 0.0, 0.0, 0.0, 0.45, 0.84, 0.1, [...]]"
